epoch,loss,precision,recall,f1,iou
1,0.6370,0.0000,0.0000,0.0000,0.0000
2,0.2957,0.0000,0.0000,0.0000,0.0000
3,0.1839,0.0000,0.0000,0.0000,0.0000
4,0.1684,0.0000,0.0000,0.0000,0.0000
5,0.1548,0.0000,0.0000,0.0000,0.0000
6,0.1387,0.5002,0.0066,0.0126,0.0065
7,0.1280,0.4035,0.0255,0.0454,0.0237
8,0.1212,0.4085,0.0382,0.0659,0.0348
9,0.1189,0.3920,0.0571,0.0931,0.0499
10,0.1174,0.4055,0.0585,0.0963,0.0515
