epoch,loss,precision,recall,f1,iou
1,0.6082,0.0377,0.0139,0.0199,0.0101
2,0.4326,0.0434,0.0032,0.0059,0.0030
3,0.3504,0.0416,0.0008,0.0016,0.0008
4,0.3081,0.3527,0.0237,0.0434,0.0225
5,0.2664,0.6186,0.0742,0.1305,0.0709
6,0.2362,0.6159,0.1882,0.2830,0.1679
7,0.2137,0.5296,0.4081,0.4551,0.2978
8,0.1900,0.6422,0.3884,0.4795,0.3190
9,0.1719,0.6507,0.4347,0.5161,0.3526
10,0.1553,0.6564,0.4805,0.5503,0.3829
