epoch,loss,precision,recall,f1,iou
1,0.5624,0.1853,0.2680,0.2110,0.1199
2,0.3224,0.3096,0.0192,0.0339,0.0176
3,0.2376,0.4626,0.0064,0.0125,0.0064
4,0.1994,0.5800,0.0144,0.0276,0.0142
5,0.1756,0.7291,0.0641,0.1139,0.0629
6,0.1584,0.5725,0.2281,0.3107,0.1922
7,0.1436,0.6362,0.2696,0.3699,0.2332
8,0.1338,0.6101,0.3214,0.4141,0.2670
9,0.1228,0.6103,0.3647,0.4499,0.2972
10,0.1158,0.6311,0.3926,0.4788,0.3213
